timestep,ep_rew_mean,ep_rew_std,ep_len_mean,checkpoints_reached,lava_fraction,timeout_fraction,explained_variance,entropy_loss
227754,-133.964542,342.6401248160617,264.2857142857143,1.85205078125,0.0,0.0,0.6919704079627991,-1.346859186142683
229802,41.13226312500001,203.67589673039478,279.125,2.00927734375,0.0,0.0,0.7834700495004654,-1.3692275658249855
231850,54.33556885714286,382.28345259610063,301.7142857142857,1.94140625,0.0,0.0,0.7639743834733963,-1.462360978499055
233898,-62.17762975000001,341.47409732166756,248.5,1.90576171875,0.0,0.0,0.7543313950300217,-1.507667375728488
235946,-46.190212749999986,317.93388743154003,252.5,1.7451171875,0.0,0.0,0.8172157406806946,-1.4481790754944086
237994,74.29764671428572,223.84599038519886,266.14285714285717,1.6015625,0.0,0.0,0.7205989956855774,-1.4457004010677337
240042,-92.845209,335.6786789168793,278.0,2.2060546875,0.0,0.0,0.7099197804927826,-1.4020331732928752
242090,48.729180571428564,210.3791596745768,371.42857142857144,1.96875,0.0,0.0,0.7323311567306519,-1.4981622952967881
244138,177.8290027777778,170.53235312522006,230.22222222222223,1.48828125,0.0,0.0,0.7629911005496979,-1.4338538113981485
246186,-7.747084624999999,408.9505238866985,263.0,1.42578125,0.0,0.0,0.7421296834945679,-1.3621937103569508
248234,83.79826233333331,374.9091599152719,343.6666666666667,1.92578125,0.0,0.0,0.7214493155479431,-1.4843213740736245
250282,132.70203737499997,227.53857154829774,219.125,1.51953125,0.0,0.0,0.7776808738708496,-1.4384792119264602
252330,-97.28649355555557,173.6994481809244,245.0,1.421875,0.0,0.0,0.8038650751113892,-1.3367391027510167
254378,115.37897144444443,371.46723312139125,228.11111111111111,1.677734375,0.0,0.0,0.7865985780954361,-1.4460979353636503
256426,-41.275896888888894,224.42212520487064,240.11111111111111,1.48291015625,0.0,0.0,0.6248257458209991,-1.4327596608549356
258474,37.087828285714295,290.45861107695555,243.28571428571428,1.95263671875,0.0,0.0,0.8199696093797684,-1.306061850115657
260522,11.505247599999995,334.8465547389191,468.8,2.7392578125,0.0,0.0,0.78797847032547,-1.3894462376832961
